"X1","Comuna","COD_COM","Poblacion","p_hacina","p_hacina_c","densidad","p_pob","sem_cuar","IVS","tasa_max","tasa_est","error","sem13","sem20","mov80","mov40","mov20","tasa_sem13","tasa_sem20","var_tasa_sem13","var_tasa_sem20","tasa_mov80","tasa_mov40","tasa_mov20","var_tasa_mov80","var_tasa_mov40","var_tasa_mov20"
1,"Buin",13402,109641,7.46,0.59,444.2,25,20,56.1448453698361,259,413.399446054788,37.3487307562395,13,20,80,40,20,363.489446054788,413.399446054788,40.3434154651693,59.6136857354395,613.01938,278.29938,110.93938,136.687019305019,7.45149806949809,-57.1662625482625
2,"Cerrillos",13102,88956,8.7,0.94,4818.8,27,18,71.5439395403623,396,540.907766073752,26.7897366542883,13,20,80,40,20,505.257766073752,555.167766073752,27.5903449681191,40.1938803216545,611.66808,276.94808,109.58808,54.4616363636364,-30.0636161616162,-72.3262424242424
3,"Cerro Navia",13103,142465,12.84,1.83,11949.6,35,19,69.7929345251329,555,566.210336106312,1.97988899026515,13,20,80,40,20,523.430336106312,573.340336106312,-5.68822772859239,3.30456506420039,651.62306,316.90306,149.54306,17.4095603603604,-42.9003495495495,-73.0553045045045
4,"Colina",13301,180353,7.47,0.53,150.6,26,20,45.6192484144073,345,323.10833073176,6.77533421025092,13,20,80,40,20,273.19833073176,323.10833073176,-20.8120780487651,-6.34541138209845,610.80646,276.08646,108.72646,77.0453507246377,-19.9749391304348,-68.485084057971
5,"Conchali",13104,139195,10.44,1.53,11427.9,29,19,65.8383650498081,523,522.053898736794,0.181226740283903,13,20,80,40,20,479.273898736794,529.183898736794,-8.36063121667414,1.18238981583065,640.55846,305.83846,138.47846,22.4777170172084,-41.5222829827916,-73.5222829827916
6,"El Bosque",13105,172000,10.22,1.04,11344.6,23,16,68.6585080742106,496,506.190675564994,2.01320886711709,13,20,80,40,20,484.800675564994,534.710675564994,-2.2579283135092,7.80457168649081,601.09628,266.37628,99.01628,21.1887661290323,-46.2951048387097,-80.0370403225806
7,"Estacion Central",13106,206792,11.87,2.86,10244.4,24,18,68.5521320355856,367,586.68576087378,37.445217785172,13,20,80,40,20,551.03576087378,600.94576087378,50.1459838893134,63.7454389301854,682.48152,347.76152,180.40152,85.9622670299728,-5.24209264305177,-50.844272479564
8,"Huechuraba",13107,112528,8.1,1.01,2197.5,29,20,56.2843586853693,454,430.05733347917,5.56731967041072,13,20,80,40,20,380.14733347917,430.05733347917,-16.2671071631783,-5.27371509269376,628.50982,293.78982,126.42982,38.4382863436123,-35.2885859030837,-72.1520220264317
9,"Independencia",13108,142065,13.56,2.49,13627.2,21,13,65.8876053001969,563,515.092661152048,9.30072246434333,13,20,80,40,20,515.092661152048,565.002661152048,-8.50929642059545,0.35571246039922,633.18518,298.46518,131.10518,12.4662841918295,-46.9866465364121,-76.7131119005329
10,"La Cisterna",13109,100434,6.35,0.69,9030.7,18,19,63.3001030444362,452,469.832842275842,3.79557167384486,13,20,80,40,20,427.052842275842,476.962842275842,-5.51928268233583,5.52275271589426,609.57758,274.85758,107.49758,34.862296460177,-39.1908008849558,-76.2173495575221
11,"La Florida",13110,402433,5.59,0.52,5180.7,19,19,64.9743985018138,435,477.573406663178,8.91452624228802,13,20,80,40,20,434.793406663178,484.703406663178,-0.0474927211085407,11.4260704972823,603.30764,268.58764,101.22764,38.6914114942529,-38.2557149425287,-76.7292781609195
12,"La Granja",13111,122557,10.54,1.3,11553.6,22,19,68.5579506872508,842,536.328531350915,56.9933260643722,13,20,80,40,20,493.548531350915,543.458531350915,-41.3837848751883,-35.4562314310078,632.0756,297.3556,129.9956,-24.9316389548694,-64.6846080760095,-84.5610926365796
13,"La Pintana",13112,189335,13.15,1.26,5823.6,33,18,78.8830206337268,765,614.123436663026,24.5677911523447,13,20,80,40,20,578.473436663026,628.383436663026,-24.3825572989509,-17.8583742924149,623.47032,288.75032,121.39032,-18.5006117647059,-62.2548601307189,-84.1319843137255
14,"La Reina",13113,100252,3.21,0.42,3958.8,7,20,50.1447326968251,308,356.920563207032,13.706288807646,13,20,80,40,20,307.010563207032,356.920563207032,-0.321245712002461,15.883299742543,606.74944,272.02944,104.66944,96.9965714285714,-11.6787532467532,-66.0164155844156
15,"Lampa",13302,126898,8.44,0.74,226.7,26,20,56.9157763771459,346,425.382896723957,18.6615158567296,13,20,80,40,20,375.472896723957,425.382896723957,8.51817824391817,22.9430337352477,618.55168,283.83168,116.47168,78.772161849711,-17.9677225433526,-66.3376647398844
16,"Las Condes",13114,330759,1.71,0.18,2977,4,13,44.9136907923471,236,254.385524550361,7.22742561034393,13,20,80,40,20,254.385524550361,304.295524550361,7.79047650439005,28.9387815891358,547.98776,213.26776,45.90776,132.198203389831,-9.63230508474576,-80.5475593220339
17,"Lo Barnechea",13115,124076,3.44,0.37,103.4,17,13,41.6164416029739,369,233.801723333686,57.8260394057734,13,20,80,40,20,233.801723333686,283.711723333686,-36.6390993675649,-23.1133541101123,554.99534,220.27534,52.91534,50.4052411924119,-40.3047859078591,-85.6597994579946
18,"Lo Espejo",13116,103865,12.07,1.74,11986.6,38,19,72.563653393963,541,586.076331600682,7.69120491140985,13,20,80,40,20,543.296331600682,593.206331600682,0.424460554654763,9.64996887258452,648.30368,313.58368,146.22368,19.8343216266174,-42.0362883548983,-72.9715933456562
19,"Lo Prado",13117,104403,11.34,1.92,14672.9,25,19,71.0127025389883,607,579.736734846254,4.70269753752557,13,20,80,40,20,536.956734846254,586.866734846254,-11.5392529083601,-3.31684763653145,654.94244,320.22244,152.86244,7.89826029654037,-47.2450675453048,-74.8167314662274
20,"Macul",13118,134635,5.97,0.75,9074.2,14,19,62.6933407226051,494,466.96837516676,5.78874850434725,13,20,80,40,20,424.188375166759,474.09837516676,-14.1319078609799,-4.02866899458309,611.7905,277.0705,109.7105,23.8442307692308,-43.9128542510121,-77.7913967611336
21,"Maipu",13119,578605,4.86,0.3,3788.7,13,20,61.0160258444334,321,443.465704266219,27.6155975734035,13,20,80,40,20,393.555704266219,443.465704266219,22.6030231358937,38.1513097402551,602.3236,267.6036,100.2436,87.6397507788162,-16.6343925233645,-68.7714641744548
22,"Nunoa",13120,250192,2.6,0.31,12353,6,13,52.987232598208,312,326.739582381805,4.51111012457039,13,20,80,40,20,326.739582381805,376.649582381805,4.72422512237327,20.7210199941681,552.78242,218.06242,50.70242,77.1738525641026,-30.1081987179487,-83.7492243589743
23,"Padre Hurtado",13604,74188,8.08,0.57,780.2,22,20,58.4544343908814,386,431.988446982896,10.6457585391668,13,20,80,40,20,382.078446982896,431.988446982896,-1.01594637748819,11.9141054359833,612.28174,277.56174,110.20174,58.6222124352332,-28.0928134715026,-71.4503264248705
24,"Pedro Aguirre Cerda",13121,107803,10,1.07,11553.8,27,17,72.4993605259038,537,546.567388880763,1.75045000404336,13,20,80,40,20,518.047388880763,567.957388880763,-3.52935030153389,5.76487688654805,609.33274,274.61274,107.25274,13.4697839851024,-48.861687150838,-80.0274227188082
25,"Penalolen",13122,266798,8.47,1.15,4506.9,26,19,59.1549877231667,622,452.112237267459,37.5764575096072,13,20,80,40,20,409.332237267459,459.242237267459,-34.1909586386722,-26.1668428830452,626.5433,291.8233,124.4633,0.730434083601293,-53.0830707395498,-79.9898231511254
26,"Providencia",13123,157749,2.23,0.49,9873.1,3,13,48.0441358533318,280,292.014508820681,4.11435338237196,13,20,80,40,20,292.014508820681,341.924508820681,4.2908960073859,22.1158960073859,559.42118,224.70118,57.34118,99.7932785714286,-19.7495785714286,-79.5210071428571
27,"Pudahuel",13124,253139,8.11,0.8,1167.5,23,20,60.8579261445271,526,460.583725977403,14.2029060804912,13,20,80,40,20,410.673725977403,460.583725977403,-21.925147152585,-12.4365539966915,620.7646,286.0446,118.6846,18.0160836501901,-45.618897338403,-77.4363878326996
28,"Puente Alto",13201,645909,6.78,0.39,6439.5,23,15,66.7800326989127,441,459.368293624502,3.99859848392501,13,20,80,40,20,445.108293624502,495.018293624501,0.931585855896038,12.2490461733563,569.99298,235.27298,67.91298,29.2501088435374,-46.6501179138322,-84.600231292517
29,"Quilicura",13125,254694,7.11,0.36,3670.7,18,18,69.9482278012758,435,506.163290241076,14.0593542860807,13,20,80,40,20,470.513290241076,520.423290241076,8.16397476806345,19.6375379864542,590.27652,255.55652,88.19652,35.6957517241379,-41.2513747126437,-79.7249379310345
30,"Quinta Normal",13126,136368,9.07,1.5,9311.9,24,17,68.0101737020225,572,524.861133538524,8.9812073040489,13,20,80,40,20,496.341133538524,546.251133538524,-13.2270745562021,-4.50155008067759,625.192,290.472,123.112,9.2993006993007,-49.2181818181818,-78.4769230769231
31,"Recoleta",13127,190075,13.17,3.04,10000.2,23,18,71.1520723372102,633,615.080821317775,2.91330473348758,13,20,80,40,20,579.430821317775,629.340821317775,-8.46274544742893,-0.578069302089265,689.12028,354.40028,187.04028,8.86576303317537,-44.0125939968404,-70.4517725118483
32,"Renca",13128,160847,10.57,0.99,6194.4,25,19,68.3895024933393,558,523.485536864263,6.59320281176863,13,20,80,40,20,480.705536864263,530.615536864263,-13.8520543254008,-4.9076098809564,620.64218,285.92218,118.56218,11.2261971326165,-48.7594659498208,-78.7522974910394
33,"San Bernardo",13401,334836,9.42,0.8,1970.9,26,16,72.051171947399,431,525.728806855835,18.0185688173278,13,20,80,40,20,504.338806855835,554.248806855835,17.0159644677111,28.5960108714234,592.2446,257.5246,90.1646,37.4117401392111,-40.2495127610209,-79.0801392111369
34,"San Joaquin",13129,103485,9.56,1.41,9504.2,21,19,64.8129273045525,639,509.047195684495,25.52863573696,13,20,80,40,20,466.267195684495,516.177195684495,-27.0317377645547,-19.2210961370117,636.13262,301.41262,134.05262,-0.44872926447573,-52.8305758998435,-79.0214992175274
35,"San Miguel",13130,133059,5.23,0.58,11229.8,17,19,57.8571275248948,496,420.22900312832,18.0308822826641,13,20,80,40,20,377.44900312832,427.35900312832,-23.901410659613,-13.838910659613,605.52056,270.80056,103.44056,22.0807580645161,-45.4031129032258,-79.1450483870968
36,"San Ramon",13131,86510,12.67,1.91,13207.6,28,18,80.4994381793655,649,651.62291868493,0.402520938063982,13,20,80,40,20,615.972918684931,665.88291868493,-5.08891853853151,2.60137421955785,647.44362,312.72362,145.36362,-0.239812018489983,-51.8145423728814,-77.601907550077
37,"Santiago",13101,503147,10.62,2.77,17485.2,10,13,57.7715510103613,378,457.504478854703,17.3778580384025,13,20,80,40,20,457.504478854703,507.414478854703,21.0329309139427,34.2366346176464,643.51214,308.79214,141.43214,70.2413068783069,-18.3089576719577,-62.58408994709
38,"Vitacura",13132,96774,0.79,0.1,3003.8,4,13,44.3967816500713,229,247.109468847797,7.32852080992124,13,20,80,40,20,247.109468847797,297.019468847797,7.90806499903783,29.7028248243653,545.0372,210.3172,42.9572,138.007510917031,-8.15842794759825,-81.2413973799127
